height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb,avg_ops_per_block,ops_per_sec
2540000,7573.207998037338,87.96383097444615,220723664,38080262574,675.796875,80.2,7057.8
2600000,7755.618072271347,118.92983483011675,221854590,38310931563,675.796875,96.7,11504.6
2620000,7893.957143068314,52.696609555077714,222230676,38393373693,675.796875,81.7,4304.8
2640000,8020.613298892975,57.20211507153073,222568414,38446746368,675.796875,74.9,4283.8
2660000,8151.040301799774,55.18029119432301,222934081,38505520120,675.796875,76.8,4238.5
2670000,8289.31830072403,25.926033265521564,223103982,38559279317,675.796875,79.4,2058.0
2690000,8419.981141805649,55.56285122764935,223434949,38612324768,675.796875,71.4,3969.8
2730000,8568.484287261963,97.13598964975105,224015722,38727027985,675.796875,64.2,6240.6
2770000,8730.613336324692,89.0093421470482,224667378,38842213894,675.796875,77.1,6862.1
2790000,8873.011115789413,50.4572474866439,224999125,38894569696,675.796875,83.2,4197.5
2810000,9014.925844669342,50.84038885142414,225536716,39017793075,675.796875,138.4,7036.9
2830000,9160.943321704865,49.63104518123528,225917882,39119358987,675.796875,95.7,4748.5
2840000,9284.69574213028,28.95296906260881,226117963,39169785076,675.796875,88.9,2573.2
2850000,9411.270154714584,28.607677697798795,226305806,39169785076,675.796875,82.8,2368.0
2890000,9570.655378103256,90.9682823271715,227072820,39339030700,675.796875,102.3,9302.1
2980000,9810.449331998825,135.71234583409304,229818606,39794971748,675.796875,137.6,18675.5
3000000,9950.207817792892,51.6605482592205,230220864,39885316651,675.796875,69.3,3578.5
3020000,10132.85282588005,39.41525736397152,232837011,40265212256,675.796875,443.7,17490.0
3060000,10361.816089630127,63.07998830661841,235343611,40697933888,675.796875,251.6,15873.2
3090000,10539.540725946426,61.055125642166445,236583873,40926357710,675.796875,174.4,10651.0
3100000,10686.661413669586,24.592054700070936,236791179,40978645636,675.796875,95.8,2356.2
3110000,10829.775484323502,24.924174008199884,236986467,41032523826,675.796875,97.5,2430.7
3130000,10981.052508115768,47.779892932884955,238112958,41191631280,675.796875,83.9,4007.8
3180000,11175.263856649399,92.754620860277,239132185,41449739816,675.796875,90.3,8377.8
3190000,11318.203752279282,25.402285233241127,239299129,41485103824,675.796875,84.4,2145.2
3230000,11484.979387521744,86.697316301504,240084135,41666738237,675.796875,92.6,8028.5
3240000,11631.925607204437,24.28779731596142,240274243,41719448885,675.796875,86.1,2091.6
3250000,11765.017545700073,27.251838398303345,240495349,41772107688,675.796875,97.1,2646.4
3290000,11963.441506385803,72.51644383205183,242522572,42114548011,675.796875,102.0,7396.4
3320000,12120.219819545746,69.2187572456464,243174409,42223315788,675.796875,100.0,6918.9
3330000,12263.894186973572,25.26546707660649,243428958,42232443129,675.796875,107.9,2726.0
3340000,12514.252185106277,14.483260079743843,243650970,42403724012,675.796875,257.4,3728.7
3380000,12744.033592700958,62.716127256997446,244703826,42615722265,675.796875,129.8,8140.1
3420000,12923.95772409439,80.61175500847469,245744431,42795280441,675.796875,102.0,8226.3
3490000,13148.32832813263,112.70638641989962,247814805,43150231095,675.796875,122.7,13828.5
3510000,13322.492761611938,41.85699602591972,248321875,43263320488,675.796875,120.0,5024.7
3590000,13560.499603271484,121.26542161038088,250656619,43696058753,675.796875,114.5,13884.5
3600000,13706.017349720001,24.787354724986283,250917985,43709794106,675.796875,109.8,2720.9
3620000,13882.87502503395,40.66546723082893,251580722,43869249612,675.796875,146.3,5949.2
3630000,14031.314673662186,24.12428238070387,251849252,43882454382,675.796875,122.0,2943.1
3660000,14203.154791593552,62.662899267217725,252801958,44054013828,675.796875,102.4,6414.6
3710000,14412.944615840912,85.86212446015077,254444089,44391971837,675.796875,140.0,12019.0
3730000,14580.445132255554,43.534194139132566,255170697,44511415723,675.796875,128.8,5607.5
3860000,14920.356709718704,137.86820781378194,263019836,45737658230,690.53515625,84.9,11709.0
3880000,15095.481241226196,41.062208350246806,263357279,45841009401,690.53515625,83.4,3425.6
3890000,15243.476513385773,24.23050376996762,263529401,45893667103,690.53515625,80.9,1960.8
3900000,15399.10707783699,23.356594591927923,263877770,45926147362,690.53515625,133.1,3108.8
3920000,15577.668641090393,40.57424155566099,264334947,46035218697,690.53515625,83.2,3376.3
3930000,15728.69274020195,24.174949703246465,264620236,46088706522,690.53515625,109.8,2653.4
3990000,15951.309778213501,96.82996500421287,266138802,46338831961,693.53515625,109.6,10612.2
4040000,16153.051568746567,89.78308337672482,267666326,46642427530,693.53515625,121.8,10937.5
4060000,16330.314074993134,40.77568433984607,268169131,46712215853,711.5859375,123.3,5027.0
4110000,16533.887326478958,88.3220161232823,269339538,46952435268,711.5859375,86.9,7672.7
4120000,16691.899270534515,22.998261439795208,269611166,47005711409,711.5859375,105.1,2417.8
4130000,16853.248460769653,22.101133540262488,269854273,47020347006,711.5859375,98.5,2177.3
4140000,17017.926263809204,22.067333501693728,270098772,47076194983,711.5859375,95.4,2105.2
4150000,17170.83420562744,23.628596115006225,270299765,47130937902,711.5859375,83.4,1971.6
4180000,17355.078761577606,58.6014601317198,270977686,47256574209,711.5859375,79.5,4659.2
4210000,17533.474093198776,60.56212290881437,271761613,47374703694,711.5859375,104.8,6344.5
4250000,17737.996280908585,70.50579773995081,272868879,47558586094,711.5859375,102.4,7220.7
4260000,17909.004012584686,20.993202850030563,273116024,47613894871,711.5859375,105.2,2208.3
4280000,18072.76048374176,44.52343133973941,273618373,47726435089,711.5859375,100.8,4487.6
4300000,18252.605561494827,39.984413751225766,274186373,47773452165,711.5859375,118.7,4746.0
4310000,18428.41614818573,20.493646416950593,274457041,47829617134,711.5859375,113.0,2314.8
4330000,18606.709939718246,40.60713464988824,274973012,47975784082,711.5859375,107.0,4344.1
4360000,18800.1214261055,55.9429028860052,275712587,48112248570,711.5859375,92.0,5144.8
4430000,19026.55881857872,111.91614478159575,277591201,48450915939,722.2109375,93.7,10491.4
4450000,19213.991596460342,38.31240235117965,278146914,48529003442,727.12890625,126.9,4863.3
4460000,19375.56685948372,22.268260206882328,278444589,48582294015,727.12890625,127.6,2842.1
4480000,19543.89342689514,42.89875395813471,278968558,48647317871,727.12890625,100.6,4313.6
4490000,19713.031981945038,21.041920329460584,279245518,48702685435,727.12890625,113.0,2377.8
4500000,19876.33603477478,22.161115644650273,279570151,48809592038,727.12890625,134.7,2985.2
4510000,20040.39615726471,22.016319049266357,279902766,48837879940,727.12890625,137.4,3024.0
4560000,20277.623965024948,76.032401809444,281188327,49095451994,727.12890625,75.3,5728.8
4580000,20443.270459651947,43.73771999410079,281484514,49148145481,727.12890625,75.2,3287.9
4640000,20672.57773733139,94.87269754434952,282488131,49327311289,727.12890625,90.5,8583.9
4670000,20899.367156744003,47.90346934234357,284685803,49746399756,778.36328125,899.8,43103.8
4690000,21158.12321972847,28.057313580458313,290726313,50772495059,788.13671875,1328.7,37280.4
4740000,21637.269107341766,37.62528379362786,304729084,53263290622,814.61328125,1198.8,45104.8
4760000,22011.432458639145,19.146717537031513,309854972,54200696550,814.61328125,1184.2,22674.0
4800000,22421.369512081146,35.19320802758602,320751470,56199492040,822.74609375,1178.4,41470.2
4810000,22694.187031269073,13.180971701171934,321893440,56385266722,822.74609375,561.2,7396.9
4820000,22962.184467315674,13.32102296448551,322748126,56587594979,822.74609375,487.9,6499.7
4870000,23350.762764930725,45.988157624034585,331227632,58177006264,829.67578125,882.7,40594.7
4900000,23711.47935938835,29.821195268751723,336741557,59171176574,829.67578125,698.9,20842.7
4910000,23770.11625790596,61.46300522558709,338566045,59513929819,701.734375,847.7,52103.6
4930000,24029.227695941925,27.968661109410803,341666594,60094232218,744.97265625,636.4,17800.3
5000000,24472.37775993347,57.152197546524846,350066817,61692856434,756.328125,543.5,31061.7
5020000,24791.60248875618,22.557776230422643,351587734,62002668925,756.328125,404.7,9128.4
5070000,25318.22341799736,34.26373506651168,356231555,62941025193,756.328125,389.5,13346.6
5080000,25583.697496652603,13.696252449271629,356790153,63301804208,756.328125,308.6,4226.9
5100000,25836.765081882477,28.50226746127158,357657681,63246730244,756.328125,209.0,5958.1
5130000,26133.619057416916,36.671228607942545,358122758,63384213614,756.328125,68.9,2527.3
5140000,26338.47954726219,17.53388368207513,358227280,63384213614,756.328125,61.6,1079.7
5150000,26553.83518600464,16.8372651915397,358338536,63436635392,756.328125,68.6,1155.8
5170000,26821.384020090103,27.071693377988453,358590300,63468556250,756.328125,64.0,1733.0
5360000,27765.19808459282,72.86816607912722,361190697,64216686018,756.328125,70.5,5135.7
5400000,27999.489285707474,61.88879450451137,361841871,64370667186,756.328125,77.1,4773.8
5450000,28253.89702963829,71.27927680114698,362624437,64552957214,759.46875,62.4,4450.0
5460000,28453.027719020844,18.05849219500098,362771502,64552957214,759.46875,63.0,1137.7
5530000,28708.678722143173,96.65129296667251,363702924,64737482781,762.875,50.5,4879.0
5560000,28936.68580532074,47.331862894783164,364208288,64868050950,762.875,113.0,5346.8
5610000,29189.149297952652,72.1252796203229,365314238,65037022557,762.875,60.3,4352.4
5630000,29402.896795988083,33.7594594852468,365677982,65116258717,762.875,77.0,2598.5
5650000,29625.070205450058,32.411619452743054,365957213,65166096014,762.875,63.0,2042.9
5670000,29836.999896287918,34.25664413182374,366305789,65216759963,762.875,71.6,2453.6
5700000,30056.877502679825,49.33653853164418,366760827,65289849492,762.875,61.4,3030.1
5710000,30267.95505785942,17.04586732084627,366867353,65341494041,762.875,52.4,893.4
5740000,30484.168001413345,50.35776221826646,367333873,65446110596,762.875,48.1,2421.7
5750000,30694.613451957703,17.27763651147978,367455886,65446110596,762.875,54.0,932.4
5780000,30921.51476430893,47.461162248944454,367848114,65530674791,762.875,58.2,2762.3
5800000,31131.11136984825,34.72384479353885,368076542,65583015594,762.875,50.5,1754.8
5820000,31350.00438284874,32.86537062735736,368302361,65583015594,762.875,45.7,1501.4
5830000,31555.58332324028,17.876344692703867,368422923,65635346433,762.875,46.6,833.4
5840000,31759.28001022339,17.658608263463215,368527638,65635346433,762.875,48.2,852.0
5850000,31963.203478097916,17.957717364110387,368672673,65655752037,762.875,65.5,1177.1
