height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb
3090000,13709.049633264542,59.44612295279511,236583873,40925946817,656.171875
3100000,13849.732507228851,25.717416043959002,236791179,40978124642,656.171875
3110000,13993.930786132812,24.73677236033927,236986467,41032073197,656.171875
3130000,14155.640822410583,44.69728760424238,238112958,41500458519,656.171875
3180000,14368.247609615326,84.7291859156516,239132185,41445378099,656.171875
3190000,14511.119238853455,25.41442285891552,239299129,41474950108,656.171875
3230000,14691.382997989655,80.2102434193407,240084135,41645397914,656.171875
3240000,14841.989943504333,23.697446275159642,240274243,41697933641,656.171875
3250000,14982.494457006454,25.814117351790618,240495349,41750747366,656.171875
3290000,15188.28336930275,69.92116260997919,242522572,42100130979,662.71484375
3320000,15361.666986227036,62.589535231226094,243174409,42208981847,662.71484375
3330000,15514.974007606506,23.67797617706562,243428958,42233760377,662.71484375
3340000,15776.79725599289,13.849037556240868,243650970,42404943046,662.71484375
3380000,16021.39511346817,58.91711460087661,244703826,42590817434,671.625
3420000,16223.831466674805,71.64721044542436,245744431,42795303770,671.625
3490000,16441.48024559021,116.18718986624236,247814805,43159244359,671.625
3510000,16605.487002134323,44.44938826675227,248321875,43272311843,671.625
3590000,16844.599010705948,120.70493729031823,250656619,43668537975,687.73046875
3600000,16991.14931821823,24.61270850419522,250917985,43899201253,687.73046875
3620000,17156.483772993088,43.499704945310235,251580722,43875394072,687.73046875
3630000,17314.659425258636,22.639388228904785,251849252,44055290761,687.73046875
3660000,17490.95793747902,61.07822388506272,252801958,44307398023,687.73046875
3710000,17691.43642449379,89.8500396138408,254444089,44399242716,690.46484375
3730000,17864.370611190796,42.16633008935437,255170697,44501681486,690.46484375
3860000,18225.892669677734,129.62694502275613,263019836,45756068081,709.50390625
3880000,18396.44140648842,42.16390068008708,263357279,45833804182,709.50390625
3890000,18562.176443576813,21.6369457116507,263529401,45886058287,709.50390625
3900000,18715.768038988113,23.66665956080401,263877770,45941170355,709.50390625
3920000,18880.287903785706,44.03723531449215,264334947,46006580878,709.50390625
3930000,19045.464770317078,22.10357949432686,264620236,46060035884,709.50390625
3990000,19258.00329732895,101.42161189813831,266138802,46363090542,709.50390625
4040000,19459.045449733734,90.09553361491407,267666326,46618486337,709.50390625
4060000,19628.742076396942,42.59365752947584,268169131,46721624061,709.50390625
4110000,19838.483328342438,85.72467186699339,269339538,46925970226,709.50390625
4120000,20001.44765138626,22.29935934519097,269611166,46979138735,709.50390625
4130000,20161.45068192482,22.2870778634448,269854273,47033488197,709.50390625
4140000,20321.032663345337,22.77199447990303,270098772,47089600732,709.50390625
4150000,20479.88658761978,22.744165852383897,270299765,47091408152,709.50390625
4180000,20671.62476158142,56.31116525684723,270977686,47255338450,709.50390625
4210000,20863.862461566925,56.2012550130109,271761613,47372549229,709.50390625
4250000,21067.766077280045,70.71968758164691,272868879,47570940991,709.50390625
4260000,21229.428738594055,22.206735747266027,273116024,47626270874,709.50390625
4280000,21409.516877412796,40.485731308148004,273618373,47705549443,709.50390625
4300000,21579.392770051956,42.33090339236466,274186373,47815634284,709.50390625
4310000,21748.48831653595,21.30748014904732,274457041,47838425805,709.50390625
4330000,21942.18055510521,37.37888546014791,274973012,48005453287,709.50390625
4360000,22141.955357074738,54.160984735454186,275712587,48133056685,709.50390625
4430000,22378.29194164276,107.22842612928565,277591201,48422319417,709.50390625
4450000,22568.160725593567,37.82085633339587,278146914,48532403447,709.50390625
4460000,22737.585293769836,21.236589467099225,278444589,48552641430,709.50390625
4480000,22929.992691993713,37.52974192602488,278968558,48664239114,709.50390625
4490000,23090.52098917961,22.170546018304446,279245518,48719604788,709.50390625
4500000,23266.862416267395,20.522687491909885,279570151,48786708590,709.50390625
4510000,23436.469660282135,21.296260197978885,279902766,48839415875,709.50390625
4560000,23654.90916633606,82.57205999883253,281188327,49093106538,709.50390625
4580000,23844.987332344055,38.11589806530036,281484514,49145783528,709.50390625
4640000,24081.969133377075,91.80029818816658,282488131,49369678474,712.80859375
4670000,24294.32696700096,51.158932141121696,284685803,49767114218,765.5234375
4690000,24551.405206918716,28.240429848604187,290726313,50804100873,780.51953125
4740000,25026.985317230225,37.90738849064049,304729084,53271589221,782.20703125
4760000,25413.37686610222,18.540778184497327,309854972,54207407590,814.7734375
4800000,25815.353160619736,35.89017610433072,320751470,56181689996,832.55859375
4810000,26081.113677740097,13.530979089611694,321893440,56646768740,832.55859375
4820000,26320.941395759583,14.885685564126268,322748126,56588269535,832.55859375
4870000,26820.035109758377,35.80489895739933,331227632,58163119338,857.34765625
4900000,27493.606252670288,15.970102212954794,336741557,59192205855,857.34765625
