height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb
1950000,3716.600825548172,29.4281589026729,155183644,28815009682,1318.1875
1980000,3997.8026967048645,38.57726819305278,164066719,30281760683,1318.1875
1990000,4180.768719434738,19.921731617795423,166851743,30837087471,1318.1875
2000000,4304.127972602844,29.207375267504762,168712262,31102224687,1318.1875
2010000,4461.291051387787,23.186107247150225,170863052,31489459800,1318.1875
2020000,4610.103147268295,24.48053687063999,172336046,31743335525,1318.1875
2040000,4795.442868947983,38.96628275120315,174753797,32199407888,1318.1875
2050000,4925.235702991486,27.36668804696469,176033118,32453616412,1318.1875
2060000,5041.7212018966675,31.119753394804246,176104766,32492433261,1318.1875
2070000,5174.6284766197205,27.40256323507542,176176754,32492433261,1318.1875
2080000,5282.144013643265,33.41842583377681,176271439,32545802410,1318.1875
2100000,5401.720965147018,60.00320220385254,176406282,32593131224,1318.1875
2170000,5656.319139003754,99.70613541904027,176569797,32846994199,1318.1875
2190000,5800.750735998154,49.975214220471855,176519194,32897486687,1318.1875
2210000,5916.680332899094,61.951392845236136,176625950,32998673524,1318.1875
2230000,6072.484843015671,46.500579441372366,176591588,33077434705,1318.1875
2270000,6357.165582418442,50.920199344750266,176054206,33297847327,1318.1875
2300000,6478.636506795883,88.78667924258345,176229377,33350741567,1318.1875
2380000,6698.884538650513,131.03408805509093,177892128,33748878158,1318.1875
2390000,6833.955290317535,27.185752316328543,177959279,33801445461,1318.1875
2450000,6987.629026651382,141.25380509290693,178797768,34072754736,1318.1875
2460000,7098.751029253006,32.67579700680223,178861373,34126004661,1318.1875
2470000,7208.462120294571,32.79522576834888,178932932,34446915970,1318.1875
2490000,7335.8286764621735,56.41983434445611,178961651,34218805189,1318.1875
2540000,7502.066996335983,108.66928884816086,179129058,34382905797,1318.1875
2600000,7662.917640924454,134.87045734571458,179517726,34575321175,1318.1875
2620000,7789.149400949478,57.75091782412617,179652884,34628615757,1318.1875
2640000,7907.015428304672,61.468093585328845,179788540,34681421334,1318.1875
2660000,8026.995100975037,59.98516115119972,179923032,34742158925,1318.1875
2670000,8161.562850475311,26.640855727416938,179978264,34742158925,1318.1875
2690000,8278.681961297989,61.98817553346944,180108390,34794370784,1318.1875
2730000,8405.011451721191,114.18553143590144,180300540,34886633753,1318.1875
2770000,8550.489429712296,99.19714447008911,180456277,34989036191,1318.1875
2790000,8672.301197767258,58.98444883221864,180558128,34964718357,1318.1875
2810000,8802.635867834091,55.35748850478745,180682472,35068315708,1318.1875
2830000,8920.746413230896,61.357772717524426,180792809,35119939185,1318.1875
2840000,9031.038834810257,32.4863662316259,180874457,35330925897,1318.1875
2850000,9142.95204949379,32.355428357941776,180950361,35209979457,1318.1875
2890000,9272.752988815308,111.70181106383109,181215912,35312493375,1318.1875
2980000,9460.433776855469,173.3954782470129,181762590,35822500463,1318.1875
3000000,9590.495190620422,55.51223680412971,181884048,35662915219,1318.1875
3020000,9731.643658161163,51.00303336925771,183133314,35864721208,1318.1875
3060000,9934.177359342575,71.31158871709573,183679981,36115670506,1318.1875
3090000,10077.1516559124,75.89476052921657,184012854,36237746371,1318.1875
3100000,10220.558847427368,25.22886029479458,184081108,36289040785,1318.1875
3110000,10342.606485128403,29.226292840977816,184123963,36289040785,1318.1875
3130000,10492.049092531204,48.36639379904516,184990611,36440546308,1318.1875
3180000,10676.916375398636,97.44287750968809,185192616,36781208992,1318.1875
3190000,10795.51483631134,30.61591164047763,185219811,36682864699,1318.1875
3230000,10931.510526895523,106.31954540537245,185473281,36804156876,1318.1875
3240000,11061.165949583054,27.526808567053056,185546077,36804156876,1318.1875
3250000,11179.8355550766,30.5638498157582,185636216,36856441304,1318.1875
3290000,11339.394583940506,90.17979178271918,187100770,37384837898,1318.1875
3320000,11487.784579992294,73.13161458817369,187388978,37196365710,1318.1875
3330000,11620.86006474495,27.277751471257194,187506345,37250024979,1318.1875
3340000,11845.493678808212,16.141840637344774,187016645,37922316538,1318.1875
3380000,12024.914762496948,80.3194346156138,187227337,37495662654,1318.1875
3420000,12170.370352983475,99.71428359326967,187750874,37790253637,1318.1875
3490000,12348.605679512024,141.87984218689354,188971802,37990954573,1318.1875
3510000,12483.32534980774,54.11236520990694,189252292,38046006100,1318.1875
3590000,12724.23687672615,119.80331688227854,190606950,38360853450,1318.1875
3600000,12858.914499044418,26.782474607964197,190734065,38360853450,1318.1875
3620000,12989.860634565353,54.92334669815572,191089583,38468701594,1318.1875
3630000,13146.236740589142,22.89991796736035,191190034,38468701594,1318.1875
3660000,13292.072101354599,73.8366877791585,191693558,38640860974,1318.1875
3710000,13471.51073384285,100.38529468384938,192496630,38789358512,1318.1875
3730000,13619.167200088501,49.38490121975788,192857965,38899748434,1318.1875
3860000,13931.135563611984,150.21715494068812,198650486,39966678520,1318.1875
3880000,14098.743042945862,42.903813293888746,198722743,40017071323,1318.1875
3890000,14241.49209022522,25.121008289339034,198776760,40067918637,1318.1875
3900000,14372.417865037918,27.763822709471906,198989642,40060664752,1318.1875
3920000,14541.891827583313,42.74992978971251,199209335,40116567007,1318.1875
3930000,14671.060904741287,28.2652789687025,199379092,40171220295,1318.1875
3990000,14846.413401842117,122.92952969814286,200211493,40384825364,1318.1875
4040000,15018.39335823059,105.3204127990695,201079650,40567314405,1318.1875
4060000,15194.057131290436,41.14678783278537,201302761,40673357347,1318.1875
4110000,15384.419695615768,94.45134374882603,201852820,40869291264,1318.1875
4120000,15515.18192577362,27.790899525139224,202013934,40869291264,1318.1875
4130000,15646.245929002762,27.208080877596167,202148782,40923375518,1318.1875
4140000,15781.471318483353,26.873651567641414,202291026,40912445926,1318.1875
4150000,15945.464489936829,22.03140513704249,202391486,40965904675,1318.1875
4180000,16102.273623466492,68.85440762898907,202704910,41074123805,1318.1875
4210000,16278.424618244171,61.33374389191359,203150799,41161595338,1318.1875
4250000,16474.461980581284,73.55740675189703,203769208,41265792547,1318.1875
4260000,16634.94026851654,22.37062749228944,203885771,41320430278,1318.1875
4280000,16791.800739765167,46.48079877589831,204167162,41394420525,1318.1875
4300000,16972.031378269196,39.898876571084635,204491365,41507655216,1318.1875
4310000,17131.373985767365,22.61165457607692,204625645,41562411609,1318.1875
4330000,17327.822065114975,36.85452168350795,204856443,41595891905,1318.1875
4360000,17526.09529232979,54.57115996945666,205202529,41714267854,1318.1875
4430000,17758.701643705368,108.94801388755427,206301714,41904063644,1318.1875
4450000,17927.37144112587,42.57430855921069,206576116,42017707570,1318.1875
4460000,18085.50615286827,22.75275276601562,206712351,42008284884,1318.1875
4480000,18279.606534957886,37.20239971844111,207006790,42118688503,1318.1875
4490000,18456.560793876648,20.11254220015071,207158504,42172759257,1318.1875
4500000,18617.084089279175,22.545014360221213,207320173,42216275393,1318.1875
4510000,18791.857128858566,20.666803121881003,207489400,42271329089,1318.1875
4560000,18999.114339590073,87.02712892998561,208030937,42429012825,1318.1875
4580000,19162.613223075867,44.312229206320524,208097239,42478814641,1318.1875
4640000,19401.404895305634,91.10451715865202,208190979,42596015880,1318.1875
4670000,19609.140074253082,52.29735307734417,208750455,42878864614,1318.1875
4690000,19859.910614728928,28.950769042583357,211144319,43622936828,1318.1875
4740000,20275.777923107147,43.350365938368114,216555979,45341000800,1318.1875
4760000,20599.35961675644,22.139694984613588,218126520,46037764344,1318.1875
4800000,20954.808356523514,40.588130962157884,222064527,47401478768,1318.1875
4810000,21207.392041683197,14.236865685630532,222331049,47554439946,1318.1875
4820000,21430.707738399506,15.986337066736453,222298117,47636395663,1318.1875
4870000,21769.748820781708,52.707476847466786,224133258,48682884641,1318.1875
4900000,22080.93394947052,34.56784726611113,225934994,49359473627,1318.1875
4910000,22315.324900388718,15.376020216999738,226529227,49617791587,1318.1875
4930000,22599.926941871643,25.46362619972556,227592827,50039985500,1318.1875
5000000,22989.302483558655,65.04517435858459,229172632,51073990103,1318.1875
5020000,23248.032604932785,27.832089908028813,229147669,51179202367,1318.1875
5070000,23676.790788650513,42.08432791542759,229189214,51757376801,1318.1875
